"Gebiet","Sachmerkmal","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
Burghausen-Rückmarsdorf,Jugendquote,"15,9","15,3","14,7","14,6","14,4","14,6","14,5","14,7","15,3","16,38269987","17,5397878","17,64119601","17,52066116","18,1908548707753","17,8227680053103","18,1390661740007","18,209771096686","18,3011049723757","19,1289198606272","19,6113074204947","20,3085755292429","21,4520248084641","21,5564486664231","20,89822528"
Möckern,Jugendquote,"14,1","14,6","14,3","14,2","14,2","13,5","13,9","14,5","15,6","15,84547182","16,57767607","17,15790794","17,37549982","17,664250642974","17,4780526735834","17,504105090312","18,7842393594606","18,7180258802287","18,7081339712919","19,0267105744603","18,8685905921807","19,07149649866","19,7989949748744","19,5484493"
Wahren,Jugendquote,"15,3","14,8","14","13,1","13,5","12,7","13,4","13,9","14,8","15,46723953","15,92012952","16,54676259","16,37755102","16,6946107784431","17,4443141852286","17,7999535855187","17,9054803638784","18,7375855219598","19,7971781305115","19,6852139215252","20,7480748074807","20,335658238884","20,5242966751918","20,4880101"
Lützschena-Stahmeln,Jugendquote,"17","16,6","15,9","15,7","15","15","15,2","15,8","16,5","16,27465857","16,769468","16,79596587","17,70466118","17,6053564395431","17,9968076616121","17,6283326701154","17,639902676399","19,5043964828137","19,5254764683003","21,0505836575875","22,2700587084149","22,9158435401027","23,7485448195576","23,4393404"
Lindenthal,Jugendquote,"16,9","16,5","15,5","14,1","13,6","13,9","14,7","15,4","16,4","16,68351871","17,77108434","18,31055901","18,86699507","19,4103194103194","19,7542997542998","19,4055099081682","19,802931987503","20,3934740882917","20,8683137443032","21,8666666666667","22,5152625152625","21,7549829849295","21,3515456506111","21,11726463"
Gohlis-Süd,Jugendquote,"18,2","18,7","18,2","17,5","17,6","17,8","18,3","18,9","19,3","20,2613225","20,66643344","21,21957425","21,17331994","21,5450151552388","21,8305355715428","21,7598475222363","21,9390148553557","22,5136949309467","22,3541200955831","22,4623192863734","22,2188099808061","21,8071642248984","21,4564857958816","20,30815483"
Gohlis-Mitte,Jugendquote,"19,8","19,7","19,2","18,5","18,5","17,7","18,2","19","19,8","20,47788724","21,17260499","21,20493827","21,37158055","21,4687183267299","22,1511468518688","22,8740875912409","23,7170349251604","24,0155105557949","24,0982348426708","23,5259483556228","23,5820645808934","23,3316774300381","23,009281875916","22,09087254"
Gohlis-Nord,Jugendquote,"16","14,8","14,4","14","13,8","13,6","14,2","14,6","15,7","17,25864124","17,72853186","18,56069233","19,71702419","19,8771390960948","21,1333617383894","22,0236858508207","23,1299412122441","23,7925574030087","23,6492982118823","23,9078341013825","24,7337064452067","25,2266119377459","25,0166112956811","24,23897119"
Eutritzsch,Jugendquote,"17,5","17,1","16,6","15,8","16","16","16,4","16,9","17,9","17,87738958","18,69908016","19,21902824","19,39490838","19,3609918931807","19,7809719370294","20,6940736785905","20,3370786516854","20,5658655308792","20,0757575757576","20,46516351818","20,654376012966","20,1822004204625","20,0171903352115","19,03648269"
Seehausen,Jugendquote,"22","21","22,1","21,9","19,3","18,8","20,2","20,4","20,7","20,36914964","22,19251337","23,36700337","23,52941176","23,9680426098535","23,943661971831","24,9556475458309","23,4673698088332","24,0234375","24,5817245817246","25,2525252525253","25,981308411215","26,6747133373567","27,9607163489313","27,82857143"
Wiederitzsch,Jugendquote,"17,4","17,3","16,7","16,7","16,6","17","17,4","17,8","18,7","19,58364038","20,01106603","20,62937063","21,10175695","21,6568699485672","21,2602739726027","21,6201322556943","22,1160911094783","22,2837114923446","22,780136606978","23,2146186835726","23,2549458753266","23,495435066145","23,1488011283498","22,5772286"
Mitte,Jugendquote,"12,4","11,8","11,6","11,9","11,7","11,8","12,4","13,1","13,5","14,11219081","15,26112133","15,62664977","15,90384664","16,1923502644201","16,3705976076669","17,5066914666788","17,378288955412","17,1798992355803","17,0962752932079","16,9604462042832","16,9082739911835","16,9169210461183","17,2179492288686","16,70443889"
Nordost,Jugendquote,"14,4","14,2","13,7","13,3","13,1","13","13,7","14,1","14,7","15,32985479","16,40368442","16,84641423","17,10162965","17,8910315273952","18,4216502649508","19,3386553390948","19,8632088914221","20,7972576598226","20,8724808773707","21,1792895093239","21,1727049850177","20,9220688041189","21,1485841552657","20,965625"
Ost,Jugendquote,"17,7","17,4","16,5","15,9","15,6","15,5","15,4","15,6","16,3","16,91206766","17,37945173","17,65655957","17,94704496","18,0218521095061","18,2539526662084","18,6154534940119","19,1919374030938","19,6287456907982","19,8565264671835","19,6645811609315","19,7625517038473","19,6809516442336","19,9444035099471","19,41509215"
Südost,Jugendquote,"18","17,4","16,6","16,1","15,7","15,3","15,6","16,2","17,2","17,80537072","18,2772488","18,64157685","19,09364201","19,1934996843174","19,0950879255973","19,5093305493932","19,8896445528038","19,8966472776294","20,1437084631042","20,2769679300292","20,6432564555553","20,6891583623484","20,7138663848773","19,98011239"
Süd,Jugendquote,"16","15,7","15,2","14,9","15","14,8","15","15,7","16,6","17,3022082","18,04622853","18,53889989","18,65887817","19,1488860628327","19,7427787338946","20,3393327983492","20,6170018281536","20,9010556773741","21,1378115569465","21,1884180351548","21,2010617120106","20,7525982032764","20,3376723804614","19,37580998"
Südwest,Jugendquote,"17,3","16,9","16,6","16,2","16,4","16,3","16,7","17,4","18,5","19,47834334","20,64711578","20,98866959","21,38299141","21,3434045262488","21,8134183847819","22,2225333968129","22,5239132232544","23,213168276425","23,7866579854046","23,6203979698703","23,5524340553292","23,5674381484437","23,4518138512276","22,75016877"
West,Jugendquote,"13,9","13,2","12,7","12","12","12","12,3","12,7","13,9","14,75873016","15,76589832","16,35544961","17,44545149","18,3144356067016","19,4025295852972","20,7791767061459","22,9215796990733","24,0038872691934","24,985613215531","24,7407407407407","24,9991579372832","25,0556681843863","25,6709265175719","25,03426513"
Alt-West,Jugendquote,"17,4","17","16,4","16","15,7","15,6","16","16,5","16,7","17,53493484","18,03933715","18,26052972","18,25580053","18,6369958275382","18,9807897545358","19,1377443143726","19,7170959237477","19,8715715067948","20,2946638603442","20,3649795738643","20,5639079453121","20,6803982819211","20,7920083921419","20,62967391"
Nordwest,Jugendquote,"15,4","15,3","14,8","14,2","14","13,7","14,1","14,8","15,7","16,01230026","16,73278237","17,23498281","17,53433408","17,8146654255869","18,0093820110137","17,9746205523762","18,6609134102589","19,1450165328295","19,446745834484","19,9250158099196","20,2965462132647","20,2368421052632","20,6569155760842","20,42259414"
Nord,Jugendquote,"18,2","18","17,6","17","17","16,9","17,4","18","18,7","19,44991665","20,06594559","20,54857866","20,79984738","21,0211398770721","21,4271063606737","21,9413796946395","22,2329204779203","22,6376087518305","22,5695036670646","22,6592515548386","22,7757481046607","22,6263678999479","22,3919809223556","21,48315596"
Stadt Leipzig,Jugendquote,"16,1151806011619","15,7315452278192","15,2228796256278","14,8310415904487","14,7191518496482","14,5762448813915","14,9417916190669","15,4671116773433","16,2632916241444","16,9783965348006","17,7628663480771","18,1665972706854","18,494961602652","18,8152851250785","19,1879686901308","19,7579872714502","20,2620320017552","20,626873793585","20,8792047373883","20,884746420943","20,884746420943","20,9128192150529","21,0024735169747","20,40855665"
Zentrum,Altenquote,"34,8","38","39","40","38,4","39,7","43,3","40,3","38,6","37,66447368","39,53900709","38,16925734","35,92964824","33,8983050847458","33,1734612310152","27,8271918678526","34,4772545889864","32,28285933897","32,4655436447167","34,2476489028213","30,7635829662261","30,2090843547224","24,7083047357584","22,28373702"
Zentrum-Ost,Altenquote,"27,6","29,3","32,1","32,9","33,9","34,7","36,1","37,3","37,3","37,82837128","36,25531915","34,18388011","31,46879756","29,4844632768362","28,1999324552516","29,1541290538282","28,604044357469","28,2628262826283","27,4234335487496","25,8357087328323","25,1670378619154","23,598615916955","22,5483655770514","22,30088496"
Zentrum-Südost,Altenquote,"31","31,1","30,8","31,8","33","33,4","33,1","33","32,7","32,4099723","32,28182324","30,84211931","28,41208171","26,7775915728992","25,8328530259366","22,7563776806586","22,2166699980012","20,8730083906854","20,8349074423876","20,6553104347017","20,910290237467","20,1129734234651","18,7467317413282","17,71024147"
Zentrum-Süd,Altenquote,"33,1","33,4","33,5","33,4","34,6","34,3","33,7","32,6","32,6","32,84521692","31,64286668","30,21794872","29,35655181","28,6886234768971","27,7150506343848","27,7054794520548","27,6440962506995","26,8816033111861","26,6244227258082","27,1508862948552","27,2315653298836","26,2308820448355","26,313079299691","25,62986947"
Zentrum-West,Altenquote,"23,4","23,3","24","25,3","25,7","25","24","23,3","22,5","22,0648698","21,62079976","21,09536463","20,41050667","20,1884439517805","19,8123324396783","20,1447368421053","20,1663201663202","19,6105879358615","19,5780484741931","19,6234883430994","19,7014925373134","18,9318015155219","18,7904191616766","17,96252927"
Zentrum-Nordwest,Altenquote,"20","18,5","18,1","17,5","17","16,6","16,4","16,3","17,5","17,92157447","18,42105263","17,93597427","17,86793267","17,6027299872032","17,6511369938991","17,7475350645744","18,7205760177236","19,0853242320819","19,3738036642056","19,4815825375171","19,3548387096774","19,3150139386699","19,2238267148014","19,2302725"
